id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q98915395,Agriculture Minister of Mali,Q912,,,,,,,,
Q3564225,Auditor-General of Mali,Q912,Q912,,,,,,,
Q113669206,Chairman of the National Committee for the Salvation of the People,Q912,Q912,,,,,,,
Q98915482,Defense minister of Mali,Q912,,,,,,,,
Q98914328,Finance minister of Mali,Q912,,,,,,,,Minister of Finance (Mali)
Q98915776,Health minister of Mali,Q912,Q912,,,,,,,
Q30622221,Malian Ambassador to China,,,,,,,,,List of ambassadors of Mali to China
Q30592689,Malian Ambassador to the United States,,,,,,,,,List of ambassadors of Mali to the United States
Q21295991,Member of the National Assembly of Mali,Q912,Q912,,,,,,,
Q104637671,Member of the National Transition Council of Mali,Q912,Q912,,,,,,,
Q113669477,Minister of Communications of Mali,Q912,Q912,,,,,,,
Q113669470,Minister of Education of Mali,Q912,Q912,,,,,,,
Q2101065,Minister of Foreign Affairs,Q912,Q912,,,,,,,Minister of Foreign Affairs (Mali)
Q113669367,Minister of Human Rights of Mali,Q912,Q912,,,,,,,
Q113669378,Minister of Information of Mali,,Q912,,,,,,,
Q64029451,Minister of Internal Security and Civil Protection,Q912,Q912,,,,,,,
Q113669387,Minister of Justice (Mali),,Q912,,,,,,,
Q113669399,Minister of Territorial Administration and Decentralisation of Mali,Q912,Q912,,,,,,,
Q47006779,President of Mali,Q912,Q912,Q104858893,,1960-06-20,,,,
Q110585485,President of the National Assembly,Q912,Q912,,Q6594818,,,,,
Q30100640,Prime Minister of Mali,Q912,Q912,,Q1264364,1960-06-20,,,,
Q104858893,Vice President of Mali,Q912,Q912,,,,,,,Vice President of Mali
Q113669611,ambassador of Mali to Morocco,,,,,,,,,
Q113669488,ambassador of Mali to Russia,,,,,,,,,
Q111515061,head of the Mali armed forces,Q912,,,,,,,,
