ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q109037619,Q109037619,,,,,,,,,,,,,,,,
,Q110545744,1st Keïta Cabinet,,,,,,,,,,,,,,,,
,Q16639661,Q16639661,,,,,,,,,,,,,,,,
,Q16639681,Q16639681,,,,,,,,,,,,,,,,
,Q16639686,Mara Cabinet,,,,,,,,,,,,,,,,
,Q1719835,Q1719835,,,,,,,,,,,,,,,,
,Q3111836,Q3111836,,,,,,,,,,,,,,,,
,Q3111977,Q3111977,,,,,,,,,,,,,,,,
,Q3112014,Q3112014,,,,,,,,,,,,,,,,
,Q3112456,Q3112456,,,,,,,,,,,,,,,,
,Q3112538,Q3112538,,,,,,,,,,,,,,,,
,Q66360676,government Boubou Cissé (1),,,,,,,,,,,,,,,,
,Q3112145,Q3112145,2004-05-02,11,,,2007-10-03,11,,,,,,,,,,
,Q3112454,Q3112454,2007-10-03,11,,,2009-04-09,11,,,,,,,,,,
,Q21512849,2nd Keïta Cabinet,2015-01-09,11,,,2017-04-11,11,,,,,,,,,,
,Q106580765,2nd Cissé Cabinet,2020-07-27,11,,,2020-08-18,11,,,,,,,,,,
,Q100137283,1st Ouane Cabinet,2020-10-05,11,,,2021-05-24,11,,,,,,,,,,
,Q109037618,2nd Ouane Cabinet,2021-05-24,11,,,2021-05-24,11,,,,,,,,,,
,Q109037596,Maïga Cabinet,2021-06-11,11,,,,,,,,,,,,,,
